iter	Passed	Remaining
885	1532	197
886	1533	195
887	1534	193
888	1536	191
889	1538	190
890	1540	188
891	1541	186
892	1543	184
893	1545	183
894	1546	181
895	1547	179
896	1548	177
897	1549	175
898	1550	174
899	1555	172
900	1557	171
901	1560	169
902	1561	167
903	1562	165
904	1564	164
905	1565	162
906	1570	160
907	1571	159
908	1573	157
909	1575	155
910	1576	154
911	1577	152
912	1578	150
913	1579	148
914	1581	146
915	1583	145
916	1585	143
917	1586	141
918	1588	139
919	1589	138
920	1590	136
921	1591	134
922	1593	132
923	1594	131
924	1596	129
925	1598	127
926	1599	125
927	1601	124
928	1603	122
929	1604	120
930	1605	118
931	1606	117
932	1607	115
933	1608	113
934	1609	111
935	1613	110
936	1614	108
937	1616	106
938	1618	105
939	1619	103
940	1620	101
941	1621	99
942	1622	98
943	1623	96
944	1628	94
945	1631	93
946	1635	91
947	1637	89
948	1639	88
949	1642	86
950	1644	84
951	1646	83
952	1648	81
953	1649	79
954	1651	77
955	1652	76
956	1653	74
957	1656	72
958	1658	70
959	1660	69
960	1661	67
961	1662	65
962	1664	63
963	1665	62
964	1666	60
965	1667	58
966	1670	57
967	1672	55
968	1674	53
969	1676	51
970	1678	50
971	1679	48
972	1680	46
973	1681	44
974	1682	43
975	1683	41
976	1686	39
977	1687	37
978	1689	36
979	1690	34
980	1691	32
981	1693	31
982	1694	29
983	1695	27
984	1696	25
985	1697	24
986	1702	22
987	1704	20
988	1706	18
989	1707	17
990	1708	15
991	1709	13
992	1710	12
993	1712	10
994	1713	8
995	1715	6
996	1718	5
997	1719	3
998	1720	1
999	1722	0
